"Sample","Abundance","Type","Taxonomy","RelativeAbundance"
"W4_3",3511,"Water","Alphaproteobacteria",4.55974025974026
"W5_1",4425,"Water","Alphaproteobacteria",5.74675324675325
"W5_2",669,"Water","Alphaproteobacteria",0.868831168831169
"W5_3",6014,"Water","Alphaproteobacteria",7.81038961038961
"t0_1",254,"Other","Alphaproteobacteria",0.32987012987013
"t0_2",252,"Other","Alphaproteobacteria",0.327272727272727
"t0_3",251,"Other","Alphaproteobacteria",0.325974025974026
"G1L",256,"Glass","Dethiobacteria",0.332467532467532
"G1_1",1749,"Glass","Dethiobacteria",2.27142857142857
"G1_2",1825,"Glass","Dethiobacteria",2.37012987012987
"G1_3",1907,"Glass","Dethiobacteria",2.47662337662338
"G2_1",1417,"Glass","Dethiobacteria",1.84025974025974
"G2_2",1387,"Glass","Dethiobacteria",1.8012987012987
"G2_3",1194,"Glass","Dethiobacteria",1.55064935064935
"G3_1",380,"Glass","Dethiobacteria",0.493506493506494
"G3_2",376,"Glass","Dethiobacteria",0.488311688311688
"G3_3",352,"Glass","Dethiobacteria",0.457142857142857
"G4_1",285,"Glass","Dethiobacteria",0.37012987012987
"G4_2",227,"Glass","Dethiobacteria",0.294805194805195
"G4_3",1683,"Glass","Dethiobacteria",2.18571428571429
"G5_1",220,"Glass","Dethiobacteria",0.285714285714286
"G5_2",281,"Glass","Dethiobacteria",0.364935064935065
"G5_3",253,"Glass","Dethiobacteria",0.328571428571429
"TAn1L",246,"Rock Anoxic","Dethiobacteria",0.319480519480519
"TAn1_1",2299,"Rock Anoxic","Dethiobacteria",2.98571428571429
"TAn1_2",2314,"Rock Anoxic","Dethiobacteria",3.00519480519481
"TAn1_3",3443,"Rock Anoxic","Dethiobacteria",4.47142857142857
"TAn2_1",3702,"Rock Anoxic","Dethiobacteria",4.80779220779221
"TAn2_2",3736,"Rock Anoxic","Dethiobacteria",4.85194805194805
"TAn2_3",2014,"Rock Anoxic","Dethiobacteria",2.61558441558442
"TAn3_1",1540,"Rock Anoxic","Dethiobacteria",2
"TAn3_2",2895,"Rock Anoxic","Dethiobacteria",3.75974025974026
"TAn3_3",798,"Rock Anoxic","Dethiobacteria",1.03636363636364
"TAn4_1",295,"Rock Anoxic","Dethiobacteria",0.383116883116883
"TAn4_2",288,"Rock Anoxic","Dethiobacteria",0.374025974025974
"TAn4_3",2054,"Rock Anoxic","Dethiobacteria",2.66753246753247
"TAn5_1",390,"Rock Anoxic","Dethiobacteria",0.506493506493506
"TAn5_2",1802,"Rock Anoxic","Dethiobacteria",2.34025974025974
"TAn5_3",1301,"Rock Anoxic","Dethiobacteria",1.68961038961039
"TO1L",249,"Rock Oxic","Dethiobacteria",0.323376623376623
"TO1_1",1681,"Rock Oxic","Dethiobacteria",2.18311688311688
"TO1_2",2235,"Rock Oxic","Dethiobacteria",2.9025974025974
"TO1_3",2321,"Rock Oxic","Dethiobacteria",3.01428571428571
"TO2_1",1705,"Rock Oxic","Dethiobacteria",2.21428571428571
"TO2_2",2911,"Rock Oxic","Dethiobacteria",3.78051948051948
"TO2_3",2540,"Rock Oxic","Dethiobacteria",3.2987012987013
"TO3_1",546,"Rock Oxic","Dethiobacteria",0.709090909090909
"TO3_2",610,"Rock Oxic","Dethiobacteria",0.792207792207792
"TO3_3",815,"Rock Oxic","Dethiobacteria",1.05844155844156
"TO4_1",584,"Rock Oxic","Dethiobacteria",0.758441558441558
"TO4_2",438,"Rock Oxic","Dethiobacteria",0.568831168831169
"TO4_3",352,"Rock Oxic","Dethiobacteria",0.457142857142857
"TO5_1",793,"Rock Oxic","Dethiobacteria",1.02987012987013
"TO5_2",835,"Rock Oxic","Dethiobacteria",1.08441558441558
"TO5_3",574,"Rock Oxic","Dethiobacteria",0.745454545454545
"W1L",574,"Water","Dethiobacteria",0.745454545454545
"W1_1",1894,"Water","Dethiobacteria",2.45974025974026
"W1_2",1775,"Water","Dethiobacteria",2.30519480519481
"W1_3",1890,"Water","Dethiobacteria",2.45454545454545
"W2_1",1580,"Water","Dethiobacteria",2.05194805194805
"W2_2",1452,"Water","Dethiobacteria",1.88571428571429
"W2_3",1412,"Water","Dethiobacteria",1.83376623376623
"W3_1",1142,"Water","Dethiobacteria",1.48311688311688
"W3_2",663,"Water","Dethiobacteria",0.861038961038961
"W3_3",796,"Water","Dethiobacteria",1.03376623376623
"W4_1",736,"Water","Dethiobacteria",0.955844155844156
